City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Salalah,OM,2021-10-26 00:51:14,17.0151,54.0924,74.52,69,77,2.64
94,Chutove,UA,2021-10-26 00:53:04,49.7104,35.1603,31.78,65,0,4.45
95,Rundu,NA,2021-10-26 00:53:04,-17.9333,19.7667,74.01,56,100,2.51
96,Hopkinsville,US,2021-10-26 00:53:04,36.8656,-87.4886,54.55,83,100,8.99
97,Hamilton,US,2021-10-26 00:53:05,39.1834,-84.5333,54.37,93,90,1.01
98,Shingu,JP,2021-10-26 00:53:05,33.7333,135.9833,65.39,61,0,4.54
99,Richards Bay,ZA,2021-10-26 00:53:05,-28.783,32.0377,63.12,96,100,3.29
100,Atuona,PF,2021-10-26 00:49:11,-9.8,-139.0333,78.1,72,25,17.11
101,Kodiak,US,2021-10-26 00:53:06,57.79,-152.4072,40.41,90,100,10.09
102,Uusikaupunki,FI,2021-10-26 00:53:06,60.8004,21.4084,46.92,91,93,12.3
103,Cagliliog,PH,2021-10-26 00:53:07,13.9016,123.2913,82.17,81,100,9.13
104,Hithadhoo,MV,2021-10-26 00:53:07,-0.6,73.0833,82.81,67,100,15.35
105,Asadabad,IR,2021-10-26 00:53:07,34.7824,48.1185,44.47,29,0,2.8
106,College,US,2021-10-26 00:49:48,64.8569,-147.8028,30.58,90,90,4.61
107,Ramhormoz,IR,2021-10-26 00:53:08,31.28,49.6035,67.66,19,0,3.4
108,Nikel,RU,2021-10-26 00:53:09,69.4128,30.222,26.78,94,100,8.1
109,Chute-Aux-Outardes,CA,2021-10-26 00:53:09,49.1168,-68.399,43.11,100,1,4.61
110,El Ejido,ES,2021-10-26 00:53:10,36.7763,-2.8146,63.68,72,100,10.54
111,Port Hardy,CA,2021-10-26 00:49:26,50.6996,-127.4199,51.8,87,90,10.36
112,Lebu,CL,2021-10-26 00:53:11,-37.6167,-73.65,52.48,93,13,13.82
113,Yellowknife,CA,2021-10-26 00:53:11,62.456,-114.3525,42.42,94,90,6.91
114,Padang,ID,2021-10-26 00:53:11,-0.9492,100.3543,75.25,82,83,3.71
115,Narsaq,GL,2021-10-26 00:53:12,60.9167,-46.05,32.25,46,3,7.56
116,Alofi,NU,2021-10-26 00:53:12,-19.0595,-169.9187,82.29,61,75,14.97
117,Butaritari,KI,2021-10-26 00:53:12,3.0707,172.7902,81.9,74,2,6.51
118,Poum,NC,2021-10-26 00:53:13,-20.2333,164.0167,76.46,67,76,11.92
119,Saint-Paul,RE,2021-10-26 00:53:13,-21.0096,55.2707,71.69,86,19,1.01
120,Port Alfred,ZA,2021-10-26 00:49:29,-33.5906,26.891,62.01,87,10,14.34
121,Lashio,MM,2021-10-26 00:53:14,22.9333,97.75,65.25,99,99,0.56
122,Jiehu,CN,2021-10-26 00:53:14,35.5428,118.455,58.8,64,100,4.61
123,Labuhan,ID,2021-10-26 00:53:14,-6.8844,112.2051,84.4,66,28,6.04
124,Cherskiy,RU,2021-10-26 00:51:45,68.75,161.3,-7.38,92,100,2.04
125,Hokitika,NZ,2021-10-26 00:53:15,-42.7167,170.9667,56.89,94,100,5.1
126,Ilam,NP,2021-10-26 00:53:15,26.9167,87.9167,58.48,86,0,5.41
127,Vagur,FO,2021-10-26 00:53:15,61.4732,-6.8119,47.52,71,34,15.26
128,Diego De Almagro,CL,2021-10-26 00:53:16,-26.3667,-70.05,63.43,38,0,1.23
129,Outram,MY,2021-10-26 00:53:16,1.2829,103.8379,84.78,81,75,3.44
130,Vila Franca Do Campo,PT,2021-10-26 00:53:16,37.7167,-25.4333,68.41,81,8,6.93
131,San Vicente De Canete,PE,2021-10-26 00:53:17,-13.0751,-76.3835,62.08,84,96,5.06
132,La Ronge,CA,2021-10-26 00:53:17,55.1001,-105.2842,43.05,65,90,20.71
133,Sola,VU,2021-10-26 00:53:18,-13.8833,167.55,86.67,74,24,3.44
134,Port Lincoln,AU,2021-10-26 00:49:59,-34.7333,135.8667,72.68,39,100,17.05
135,Lodja,CD,2021-10-26 00:53:18,-3.4833,23.4333,69.01,99,100,1.63
136,Soria,ES,2021-10-26 00:53:19,41.6667,-2.6667,42.85,67,15,4.09
137,Yar-Sale,RU,2021-10-26 00:53:19,66.8333,70.8333,19.56,90,92,5.01
138,Tezu,IN,2021-10-26 00:53:19,27.9167,96.1667,70.48,66,1,2.59
139,Pacific Grove,US,2021-10-26 00:51:00,36.6177,-121.9166,63.0,80,40,8.01
140,Moerai,PF,2021-10-26 00:48:39,-22.4333,-151.3333,73.06,74,100,20.04
141,Ilulissat,GL,2021-10-26 00:50:41,69.2167,-51.1,-1.62,81,0,4.45
142,La Reforma,MX,2021-10-26 00:53:21,25.0833,-108.05,84.15,76,0,8.79
143,Port Keats,AU,2021-10-26 00:53:21,-14.25,129.55,92.39,51,1,4.14
144,Chingola,ZM,2021-10-26 00:53:21,-12.529,27.8838,63.64,67,10,3.51
145,Lavrentiya,RU,2021-10-26 00:53:22,65.5833,-171.0,18.3,75,100,9.35
146,Rantepao,ID,2021-10-26 00:53:22,-2.9701,119.8978,79.47,71,49,2.89
147,Iqaluit,CA,2021-10-26 00:53:23,63.7506,-68.5145,31.73,86,90,11.01
148,Leona Vicario,MX,2021-10-26 00:53:23,20.9667,-87.1917,83.89,97,75,3.13
149,Cuamba,MZ,2021-10-26 00:53:23,-14.8031,36.5372,74.88,68,5,6.87
150,Balagansk,RU,2021-10-26 00:53:24,54.0103,103.0544,39.2,63,92,4.94
151,Sao Filipe,CV,2021-10-26 00:53:24,14.8961,-24.4956,79.12,77,92,7.2
152,Srednekolymsk,RU,2021-10-26 00:53:24,67.45,153.6833,-1.59,93,52,4.47
153,Dikson,RU,2021-10-26 00:51:39,73.5069,80.5464,13.68,84,100,15.75
154,Mutare,ZW,2021-10-26 00:53:25,-18.9707,32.6709,62.28,94,70,5.21
155,Les Cayes,HT,2021-10-26 00:53:25,18.2,-73.75,78.12,78,97,2.68
156,Kenai,US,2021-10-26 00:53:26,60.5544,-151.2583,41.02,75,75,3.44
157,Chapais,CA,2021-10-26 00:53:26,49.7834,-74.8492,37.18,89,99,4.83
158,Jacareacanga,BR,2021-10-26 00:53:27,-6.2222,-57.7528,76.5,82,14,0.56
159,Saldanha,ZA,2021-10-26 00:53:27,-33.0117,17.9442,62.65,68,100,10.18
160,The Pas,CA,2021-10-26 00:53:27,53.8251,-101.2541,42.82,70,1,20.71
161,North Bend,US,2021-10-26 00:53:28,43.4065,-124.2243,56.86,95,90,12.66
162,Parintins,BR,2021-10-26 00:51:14,-2.6283,-56.7358,75.69,89,8,1.34
163,Pundaguitan,PH,2021-10-26 00:53:29,6.3711,126.1689,82.11,76,96,4.59
164,Yaan,NG,2021-10-26 00:53:29,7.3833,8.5667,73.6,94,63,7.58
165,Sikonge,TZ,2021-10-26 00:53:29,-5.6333,32.7667,70.43,48,100,6.6
166,Bahir Dar,ET,2021-10-26 00:53:30,11.5936,37.3908,57.31,81,56,3.71
167,Kahului,US,2021-10-26 00:50:22,20.8947,-156.47,84.22,71,20,25.32
168,Sabha,LY,2021-10-26 00:53:30,27.0377,14.4283,70.99,27,0,8.12
169,Linxia,CN,2021-10-26 00:53:31,35.6003,103.2064,37.58,98,100,3.53
170,Sao Joao Da Barra,BR,2021-10-26 00:53:31,-21.6403,-41.0511,71.04,87,100,7.4
171,Lebanon,US,2021-10-26 00:53:32,36.2081,-86.2911,57.42,74,90,11.5
172,Caravelas,BR,2021-10-26 00:53:32,-17.7125,-39.2481,75.42,93,100,4.21
173,Carnarvon,AU,2021-10-26 00:51:11,-24.8667,113.6333,66.27,63,75,13.8
174,Hay River,CA,2021-10-26 00:53:32,60.8156,-115.7999,42.78,81,75,6.91
175,Rawah,IQ,2021-10-26 00:53:33,34.4816,41.9093,65.66,35,69,4.92
176,Pitimbu,BR,2021-10-26 00:53:33,-7.4706,-34.8086,81.19,68,100,12.86
177,Ribeira Grande,PT,2021-10-26 00:53:33,38.5167,-28.7,68.85,75,34,20.69
178,Nanortalik,GL,2021-10-26 00:53:34,60.1432,-45.2371,34.43,62,62,11.81
179,Isangel,VU,2021-10-26 00:49:34,-19.55,169.2667,84.31,70,75,16.11
180,Chudovo,RU,2021-10-26 00:53:34,59.1167,31.6833,36.1,89,100,8.5
181,Bareli,IN,2021-10-26 00:53:35,28.35,79.4167,64.29,73,0,6.33
182,Port Elizabeth,ZA,2021-10-26 00:49:17,-33.918,25.5701,62.89,88,0,10.36
183,Soledar,UA,2021-10-26 00:53:35,48.6794,38.089,32.18,54,0,0.25
184,Orebro,SE,2021-10-26 00:53:36,59.2741,15.2066,49.59,56,90,9.22
185,Ageyevo,RU,2021-10-26 00:53:36,54.1588,36.4693,32.27,75,100,9.17
186,Natal,BR,2021-10-26 00:53:36,-5.795,-35.2094,81.25,78,40,12.66
187,Sitka,US,2021-10-26 00:53:37,57.0531,-135.33,45.48,84,100,3.71
188,Lagos De Moreno,MX,2021-10-26 00:52:24,21.35,-101.9167,58.82,87,100,5.39
189,Evensk,RU,2021-10-26 00:49:41,61.95,159.2333,18.72,76,1,4.36
190,Tasiilaq,GL,2021-10-26 00:50:51,65.6145,-37.6368,31.33,80,100,8.39
191,Mabay,PH,2021-10-26 00:53:37,6.0577,124.4666,82.31,74,98,2.15
192,Bengkulu,ID,2021-10-26 00:53:38,-3.8004,102.2655,77.59,83,100,2.53
193,Axim,GH,2021-10-26 00:53:38,4.8699,-2.2405,78.08,87,100,9.13
194,Mar Del Plata,AR,2021-10-26 00:49:11,-38.0023,-57.5575,57.87,76,0,4.0
195,Taksimo,RU,2021-10-26 00:53:39,56.3444,114.8794,30.22,77,100,2.24
196,Saint George,US,2021-10-26 00:53:39,37.1041,-113.5841,75.67,30,1,3.0
197,Bubaque,GW,2021-10-26 00:53:39,11.2833,-15.8333,82.29,74,100,4.61
198,Misratah,LY,2021-10-26 00:53:40,32.3754,15.0925,71.01,69,0,13.71
199,Agadez,NE,2021-10-26 00:53:41,19.75,10.25,80.33,13,0,6.15
200,Najran,SA,2021-10-26 00:53:41,17.4924,44.1277,59.65,20,0,1.74
201,Los Llanos De Aridane,ES,2021-10-26 00:49:58,28.6585,-17.9182,65.95,83,0,3.0
202,Deputatskiy,RU,2021-10-26 00:53:42,69.3,139.9,0.9,97,98,2.42
203,Inhambane,MZ,2021-10-26 00:51:12,-23.865,35.3833,73.31,77,100,6.33
204,Qasigiannguit,GL,2021-10-26 00:53:42,68.8193,-51.1922,-2.09,81,0,4.23
205,Ludvika,SE,2021-10-26 00:53:43,60.1496,15.1878,48.04,89,100,10.31
206,Olafsvik,IS,2021-10-26 00:53:43,64.8945,-23.7142,36.72,70,19,7.7
207,Fairbanks,US,2021-10-26 00:49:02,64.8378,-147.7164,31.1,90,90,4.61
208,Xai-Xai,MZ,2021-10-26 00:53:43,-25.0519,33.6442,70.29,92,100,4.36
209,Truro,GB,2021-10-26 00:51:34,50.2653,-5.0544,52.56,93,20,9.22
210,Weligama,LK,2021-10-26 00:53:44,5.9667,80.4167,77.83,86,100,8.79
211,Touros,BR,2021-10-26 00:50:14,-5.1989,-35.4608,81.5,61,100,17.56
212,Bastos,BR,2021-10-26 00:51:14,-21.9219,-50.7339,70.34,81,77,4.27
213,Sechura,PE,2021-10-26 00:53:44,-5.5569,-80.8222,67.3,72,100,16.06
214,Urumqi,CN,2021-10-26 00:53:45,43.801,87.6005,32.95,64,0,6.71
215,Tual,ID,2021-10-26 00:50:03,-5.6667,132.75,83.52,75,77,9.84
216,Astrea,CO,2021-10-26 00:53:45,9.4983,-73.9759,75.49,94,100,3.06
217,Kruisfontein,ZA,2021-10-26 00:49:45,-34.0033,24.7314,59.88,95,39,5.08
218,Khon Buri,TH,2021-10-26 00:53:46,14.5254,102.2459,74.53,82,80,5.66
219,Santiago De Cao,PE,2021-10-26 00:53:46,-7.9589,-79.2392,60.93,82,100,8.05
220,Marsabit,KE,2021-10-26 00:53:46,2.3284,37.9899,66.11,74,99,12.62
221,Tokur,RU,2021-10-26 00:53:47,53.1333,132.9,33.28,77,55,3.29
222,Zambezi,ZM,2021-10-26 00:53:47,-13.5432,23.1047,66.63,81,100,3.6
223,Keti Bandar,PK,2021-10-26 00:53:47,24.1447,67.4497,76.14,42,0,9.53
224,Gamba,GA,2021-10-26 00:53:48,-2.65,10.0,75.99,90,100,6.85
225,San Rafael,AR,2021-10-26 00:53:48,-34.6177,-68.3301,76.69,13,0,7.65
226,Paamiut,GL,2021-10-26 00:53:49,61.994,-49.6678,36.52,54,7,5.93
227,Kieta,PG,2021-10-26 00:50:52,-6.2167,155.6333,84.45,73,33,5.5
228,Parabel,RU,2021-10-26 00:53:49,58.6978,81.4825,34.16,85,100,12.39
229,Dengzhou,CN,2021-10-26 00:53:50,37.8086,120.7508,59.59,59,100,9.53
230,Central Point,US,2021-10-26 00:53:50,42.376,-122.9164,57.42,70,100,4.0
231,Cap Malheureux,MU,2021-10-26 00:51:10,-19.9842,57.6142,73.89,71,24,5.99
232,Itupiranga,BR,2021-10-26 00:53:51,-5.1347,-49.3267,75.13,92,47,2.44
233,Klaksvik,FO,2021-10-26 00:53:51,62.2266,-6.589,43.72,74,100,5.82
234,Atocha,BO,2021-10-26 00:53:52,-20.9333,-66.2333,46.18,42,33,13.27
235,Bodden Town,KY,2021-10-26 00:53:52,19.2833,-81.25,84.2,81,20,3.0
236,Santa Fe,AR,2021-10-26 00:49:11,-31.6333,-60.7,75.9,49,0,8.34
237,Ulaanbaatar,MN,2021-10-26 00:53:48,47.9077,106.8832,15.93,92,0,2.24
