City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
95,Saint-Pierre,RE,2021-10-28 23:14:34,-21.3393,55.4781,74.88,66,75,5.75,light rain
96,Bambous Virieux,MU,2021-10-28 23:14:34,-20.3428,57.7575,73.22,78,2,12.64,clear sky
97,Dudinka,RU,2021-10-28 23:14:35,69.4058,86.1778,0.01,88,99,11.14,overcast clouds
98,Bhuj,IN,2021-10-28 23:14:35,23.2667,69.6667,77.25,29,0,5.12,clear sky
99,Novouzensk,RU,2021-10-28 23:14:36,50.4592,48.1431,41.76,51,100,8.1,overcast clouds
100,Bluff,NZ,2021-10-28 23:13:28,-46.6,168.3333,58.6,79,45,6.26,scattered clouds
101,Ayagoz,KZ,2021-10-28 23:14:36,47.9714,80.4392,42.53,91,65,7.92,broken clouds
102,Srednekolymsk,RU,2021-10-28 23:14:36,67.45,153.6833,-0.8,92,90,0.25,overcast clouds
103,Ladushkin,RU,2021-10-28 23:14:37,54.5703,20.171,46.26,85,35,9.8,scattered clouds
104,Dikson,RU,2021-10-28 23:14:37,73.5069,80.5464,9.34,91,100,7.61,overcast clouds
105,Melilla,ES,2021-10-28 23:14:37,35.2937,-2.9383,61.18,88,0,1.14,clear sky
106,Grindavik,IS,2021-10-28 23:14:38,63.8424,-22.4338,41.47,87,90,20.71,overcast clouds
107,New Norfolk,AU,2021-10-28 23:13:29,-42.7826,147.0587,45.91,99,100,6.76,light rain
108,Svetlyy,RU,2021-10-28 23:14:38,54.675,20.1347,46.45,86,35,9.6,scattered clouds
109,Airai,TL,2021-10-28 23:14:38,-8.9266,125.4092,67.93,67,99,1.61,overcast clouds
110,Barrow,US,2021-10-28 23:11:48,71.2906,-156.7887,23.02,80,90,13.8,light snow
111,Artyom,AZ,2021-10-28 23:11:08,40.4723,50.333,44.74,78,23,9.75,few clouds
112,Cockburn Town,TC,2021-10-28 23:14:39,21.4612,-71.1419,82.65,70,2,7.72,clear sky
113,Husavik,IS,2021-10-28 23:14:39,66.0449,-17.3389,42.71,96,100,20.2,light rain
114,Coruripe,BR,2021-10-28 23:14:40,-10.1256,-36.1756,76.21,84,83,10.18,broken clouds
115,Oktyabrskiy,RU,2021-10-28 23:14:40,54.4815,53.471,38.23,81,100,6.17,overcast clouds
116,Margate,GB,2021-10-28 23:11:47,51.3813,1.3862,59.31,79,63,3.0,broken clouds
117,Faanui,PF,2021-10-28 23:14:40,-16.4833,-151.75,78.73,78,30,9.06,moderate rain
118,Cornelio Procopio,BR,2021-10-28 23:14:41,-23.1811,-50.6467,79.43,79,85,11.63,overcast clouds
119,Gravdal,NO,2021-10-28 23:14:41,68.1214,13.5031,48.45,80,100,26.55,light rain
120,Hami,CN,2021-10-28 23:14:42,42.8,93.45,47.46,38,33,3.58,scattered clouds
121,Ponta Do Sol,PT,2021-10-28 23:14:42,32.6667,-17.1,68.72,70,77,6.2,broken clouds
122,Mahebourg,MU,2021-10-28 23:14:42,-20.4081,57.7,73.26,79,3,12.41,clear sky
123,Hamilton,US,2021-10-28 23:14:43,39.1834,-84.5333,56.43,96,90,1.01,overcast clouds
124,Turukhansk,RU,2021-10-28 23:14:43,65.8167,87.9833,15.94,79,100,18.77,overcast clouds
125,Tuktoyaktuk,CA,2021-10-28 23:14:16,69.4541,-133.0374,27.5,83,100,3.85,overcast clouds
126,Tasiilaq,GL,2021-10-28 23:14:44,65.6145,-37.6368,30.36,72,56,8.61,broken clouds
127,Bandarbeyla,SO,2021-10-28 23:14:44,9.4942,50.8122,76.12,71,3,3.8,clear sky
128,San Quintin,MX,2021-10-28 23:14:44,30.4833,-115.95,75.22,39,0,5.64,clear sky
129,Lazarev,RU,2021-10-28 23:14:45,52.225,141.5131,37.35,72,2,4.88,clear sky
130,Lebu,CL,2021-10-28 23:14:45,-37.6167,-73.65,53.85,87,3,15.59,clear sky
131,Alyangula,AU,2021-10-28 23:12:16,-13.8483,136.4192,84.97,66,61,11.7,broken clouds
132,Carnarvon,AU,2021-10-28 23:11:52,-24.8667,113.6333,64.47,45,0,24.16,clear sky
133,Bang Racham,TH,2021-10-28 23:14:45,14.892,100.3173,74.95,96,100,3.6,overcast clouds
134,Kavieng,PG,2021-10-28 23:14:46,-2.5744,150.7967,85.32,69,64,8.52,broken clouds
135,Morehead,US,2021-10-28 23:14:46,37.2711,-87.1764,60.55,87,75,4.61,light rain
136,Ajdabiya,LY,2021-10-28 23:14:46,30.7554,20.2263,70.74,73,90,5.59,overcast clouds
137,Qaanaaq,GL,2021-10-28 23:11:55,77.484,-69.3632,20.21,87,98,6.78,overcast clouds
138,Puerto Ayora,EC,2021-10-28 23:14:47,-0.7393,-90.3518,68.56,92,44,5.01,scattered clouds
139,Agnibilekrou,CI,2021-10-28 23:14:47,7.1344,-3.2047,71.56,97,95,2.17,overcast clouds
140,Qaqortoq,GL,2021-10-28 23:14:47,60.7167,-46.0333,30.7,72,94,5.23,overcast clouds
141,Cape Town,ZA,2021-10-28 23:13:15,-33.9258,18.4232,62.35,69,13,4.0,few clouds
142,La Ronge,CA,2021-10-28 23:14:48,55.1001,-105.2842,44.6,56,7,9.06,clear sky
143,Vila Velha,BR,2021-10-28 23:14:48,-20.3297,-40.2925,76.95,78,75,8.05,broken clouds
144,Cabo San Lucas,MX,2021-10-28 23:10:10,22.8909,-109.9124,87.62,65,1,10.36,clear sky
145,Nikolskoye,RU,2021-10-28 23:14:49,59.7035,30.7861,47.88,95,100,10.67,light rain
146,Havre-Saint-Pierre,CA,2021-10-28 23:14:49,50.2334,-63.5986,44.58,58,0,8.66,clear sky
147,Tekeli,KZ,2021-10-28 23:14:21,44.83,78.8239,39.31,68,14,6.29,few clouds
148,Makat,KZ,2021-10-28 23:14:50,47.6469,53.3463,41.49,71,82,7.45,broken clouds
149,Trapani,IT,2021-10-28 23:09:50,37.8333,12.6667,65.34,84,100,3.87,overcast clouds
150,Golden,US,2021-10-28 23:11:24,39.7555,-105.2211,62.19,35,20,1.01,few clouds
151,Constitucion,CL,2021-10-28 23:12:01,-35.3333,-72.4167,57.38,75,12,14.47,few clouds
152,Tiksi,RU,2021-10-28 23:14:50,71.6872,128.8694,11.52,96,100,4.9,light snow
153,Marzuq,YE,2021-10-28 23:14:51,14.4,46.4667,71.15,31,5,3.51,clear sky
154,Denpasar,ID,2021-10-28 23:14:51,-8.65,115.2167,80.26,88,75,2.3,broken clouds
155,Lata,PT,2021-10-28 23:14:51,40.1629,-8.3327,63.05,91,100,6.62,light rain
156,Praia,CV,2021-10-28 23:14:51,14.9215,-23.5087,75.74,88,40,11.5,scattered clouds
157,Broome,US,2021-10-28 23:14:52,42.2506,-75.833,54.36,66,1,1.01,clear sky
158,Villa Maria,AR,2021-10-28 23:14:52,-32.4075,-63.2402,81.82,39,0,9.28,clear sky
159,Nishihara,JP,2021-10-28 23:14:52,26.1842,127.7558,70.88,60,20,6.91,few clouds
160,Luderitz,NA,2021-10-28 23:12:42,-26.6481,15.1594,57.49,88,3,6.24,clear sky
161,Comodoro Rivadavia,AR,2021-10-28 23:14:53,-45.8667,-67.5,67.86,30,0,12.66,clear sky
162,Eugene,US,2021-10-28 23:11:04,44.0521,-123.0867,71.82,75,75,1.01,broken clouds
163,Atuona,PF,2021-10-28 23:13:33,-9.8,-139.0333,78.66,66,1,15.95,clear sky
164,Nuuk,GL,2021-10-28 23:14:54,64.1835,-51.7216,30.81,74,90,10.36,overcast clouds
165,Antofagasta,CL,2021-10-28 23:14:54,-23.65,-70.4,60.08,72,32,2.13,scattered clouds
166,Saldanha,ZA,2021-10-28 23:14:54,-33.0117,17.9442,60.85,88,34,15.46,scattered clouds
167,Sieradz,PL,2021-10-28 23:14:55,51.5958,18.7302,46.8,89,20,8.59,few clouds
168,Nizhyn,UA,2021-10-28 23:14:55,51.048,31.8869,44.8,95,19,4.76,few clouds
169,Ancud,CL,2021-10-28 23:14:55,-41.8697,-73.8203,58.53,76,38,6.58,scattered clouds
170,Acari,PE,2021-10-28 23:14:56,-15.4311,-74.6158,71.02,72,84,5.7,broken clouds
171,Avarua,CK,2021-10-28 23:14:20,-21.2078,-159.775,77.05,65,75,10.36,broken clouds
172,Kaitangata,NZ,2021-10-28 23:14:56,-46.2817,169.8464,60.62,69,54,5.19,broken clouds
173,Atasu,KZ,2021-10-28 23:14:56,48.6814,71.6433,32.99,36,23,6.02,few clouds
174,Port Hedland,AU,2021-10-28 23:14:57,-20.3167,118.5667,75.25,73,3,8.05,clear sky
175,Izumo,JP,2021-10-28 23:14:57,35.3667,132.7667,57.63,69,5,10.47,clear sky
176,Spirit River,CA,2021-10-28 23:14:58,55.7833,-118.8361,45.75,37,64,12.48,broken clouds
177,Arraial Do Cabo,BR,2021-10-28 23:14:58,-22.9661,-42.0278,71.94,88,100,16.08,light rain
178,Erenhot,CN,2021-10-28 23:14:58,43.6475,111.9767,43.14,49,100,10.13,overcast clouds
179,Tual,ID,2021-10-28 23:14:58,-5.6667,132.75,83.07,75,98,3.83,overcast clouds
180,Rabo De Peixe,PT,2021-10-28 23:14:59,37.8,-25.5833,69.31,78,40,14.97,scattered clouds
181,Heishan,CN,2021-10-28 23:14:59,41.6892,122.1128,48.58,44,100,3.94,overcast clouds
